#,ICP Tier,Why,Score,Business,Phone,Response Time,Trade,Called?,Notes
1,A-BEST,ERNESTO PROFILE - 1 day to respond,5,AZ Remodel Pros ,(602) 887-8792,1 day,Home Remodeling,,
2,A-BEST,"ERNESTO PROFILE - 3+ hours (Extended hours Mon-Fri 8am-7pm, Sat 10am-5pm, but closed Sundays) to respond",5,Arizona Blinds Company,(623) 900-1316,"3+ hours (Extended hours Mon-Fri 8am-7pm, Sat 10am-5pm, but closed Sundays)",Window Treatments & Blinds,,
3,A-BEST,ERNESTO PROFILE - 2 days to respond,5,Nevarez Landscape,(480) 558-6293,2 days,Landscaping,,
4,A-BEST,"ERNESTO PROFILE - 3+ hours (Single owner operation, available weekends for emergency) to respond",5,Phoenix Handyman Home Repair,(602) 550-2139,"3+ hours (Single owner operation, available weekends for emergency)",Handyman & Home Repair,,
5,A-BEST,ERNESTO PROFILE - 4 days to respond,5,Streak Patrol,(480) 869-0179,4 days,Window Cleaning,,
6,A-BEST,ERNESTO PROFILE - 4 days to respond,5,Doherty Bros Window Pros,(602) 603-5337,4 days,Window Cleaning,,
7,A-BEST,ERNESTO PROFILE - 1 day to respond,4,Apple Plumbing,(480) 425-8282,1 day,Plumbers,,
8,A-BEST,ERNESTO PROFILE - 24 hours to respond,4,Colorworks Landscaping,(602) 492-2206,24 hours,Landscaping,,
9,A-BEST,ERNESTO PROFILE - 4+ hours (Same day estimates but maintenance scheduling likely longer) to respond,4,AMS (Arizona Maintenance Services),(602) 944-0421,4+ hours (Same day estimates but maintenance scheduling likely longer),Landscaping & Yard Maintenance,,
10,A-BEST,ERNESTO PROFILE - 1 day to respond,4,Sky View Window Cleaning LLC,(623) 349-7012,1 day,Window Cleaning,,
11,A-BEST,ERNESTO PROFILE - 1 day to respond,4,MAJ Countertops,(480) 650-6156,1 day,Countertop Installation,,
12,B-GOOD,slow - 2 hours,5,Good Times Plumbing & Restoration,(480) 525-8095,2 hours,Plumbers,,
13,B-GOOD,slow - 2 hours,5,Desert Diamond Air,(602) 535-8988,2 hours,HVAC,,
14,B-GOOD,slow - 2 hours,5,Sal's Landscape Construction (already in ),(602) 669-9410,2 hours,Landscapers,,
15,B-GOOD,slow - 11 hours,5,AMS Landscaping,(602) 944-0421,11 hours,Landscaping,,
16,B-GOOD,slow - Not specified (assumed >2 hours),5,Goodman's Landscape,(602) 861-1144,Not specified (assumed >2 hours),Landscaping,,
17,B-GOOD,slow - Not specified (assumed >2 hours),5,Miko LLC,(602) 888-2826,Not specified (assumed >2 hours),General Contractor,,
18,B-GOOD,slow - 12 hours,4,Capstone Plumbing,(602) 510-1614,12 hours,Plumbers,,
19,B-GOOD,slow - 6 hours,4,Copper State Home Maintenance & Repair,(602) 570-4476,6 hours,Plumbers,,
20,B-GOOD,slow - 5 hours,4,Divine Design Landscaping,(602) 704-0821,5 hours,Landscapers,,
21,B-GOOD,slow - 11 hours,4,Fireside Pools,(480) 239-2087,11 hours,Pool Remodeling,,
22,B-GOOD,slow - 12 hours,4,Detail Boss,(480) 823-5858,12 hours,Mobile Auto Detailing,,
23,B-GOOD,slow - >2 hours,4,Camelback Hardscapes,(480) 600-8011,>2 hours,Landscaping/Hardscaping,,
24,B-GOOD,slow - 6 hours,4,Granado's Landscaping,(480) 395-4072,6 hours,Landscaping,,
25,B-GOOD,slow - 4+ hours (Limited business hours Mon-Fri 10am-4pm),4,"About Blind Cleaning, Inc",(602) 404-7250,4+ hours (Limited business hours Mon-Fri 10am-4pm),Blind & Window Cleaning Services,,
26,B-GOOD,"slow - 4+ hours (Serves entire Maricopa County, likely longer scheduling times)",4,One Home Solution,(866) 201-5856,"4+ hours (Serves entire Maricopa County, likely longer scheduling times)",Handyman & Home Repair Services,,
27,B-GOOD,slow - >2 hours,4,Professional Window Cleaning,(480) 839-1707,>2 hours,Window Cleaning,,
28,B-GOOD,slow - >2 hours,4,Spectrum Shades and Shutters,(602) 704-5828,>2 hours,Shades & Blinds,,
29,B-GOOD,slow - >2 hours,4,Phoenix Windows and Doors,(602) 899-6260,>2 hours,Windows & Doors,,
30,B-GOOD,slow - Not specified (assumed >2 hours),4,Squeeky Kleen Windows,(480) 221-1240,Not specified (assumed >2 hours),Window Cleaning,,
31,B-GOOD,slow - 3 hours,4,TrueWest Contracting LLC,(602) 676-0330,3 hours,General Contractors,,
32,B-GOOD,slow - 2 hours,4,Stonecreek Roofing,(602) 324-3400,2 hours,Roofing,,
33,B-GOOD,slow - 2 hours,4,Turf Monsters,(623) 780-7535,2 hours,Landscaping/Artificial Turf,,
34,B-GOOD,slow - 3 hours,4,Desert Blind and Shutter Repair,(623) 759-5583,3 hours,Shades & Blinds,,
35,B-GOOD,slow - 4 hours,4,Daniel Landscaping,(480) 749-3299,4 hours,Landscaping,,
36,B-GOOD,slow - 3 hours,4,Window Pros AZ,(602) 626-3705,3 hours,Shades & Blinds,,
37,B-GOOD,slow - Under 2 hours,4,Phoenix Shutters and Blinds,(602) 491-2241,Under 2 hours,Shades & Blinds,,
38,B-GOOD,slow - 6 hours,4,Hdz Carpentry,(602) 582-4535,6 hours,Contractors,,
39,B-GOOD,slow - 7 hours,4,Rite Way,(602) 889-8600,7 hours,HVAC/Plumbing,,
40,B-GOOD,slow - 5 hours,4,Sonoran Window Cleaning,(480) 493-2484,5 hours,Window Cleaning,,
41,B-GOOD,slow - 5 hours,4,Dan the Handyman,(480) 408-5601,5 hours,Handyman,,
42,B-GOOD,slow - 6 hours,4,Handyman Connection of Phoenix,(602) 313-1336,6 hours,Handyman,,
43,C-UNKNOWN,? unknown response time,5,Homey Property Care,(928) 388-7763,Unknown,Window Cleaning,,
44,C-UNKNOWN,? unknown response time,5,Arizona Window Coverings Center,(602) 223-1173,Not specified,Window Treatment Store,,
45,C-UNKNOWN,? unknown response time,5,Goodman's Landscape Maintenance,(602) 861-1144,Unknown,Landscaping,,
46,C-UNKNOWN,? unknown response time,4,AZ Window Cleaners,(602) 663-9326,Unknown,Window Cleaning,,
47,C-UNKNOWN,? unknown response time,4,Landscaping Contractors CRG LLC,(602) 548-1088,Unknown,Landscaping,,
48,C-UNKNOWN,? unknown response time,4,Blue Sky Window Cleaning & Landscaping Services,(602) 386-7380,Unknown,"Window Cleaning, Landscaping",,
49,C-UNKNOWN,? unknown response time,4,AAA Landscape,(602) 437-2690,Unknown - requires further investigation,Landscaping,,
50,C-UNKNOWN,? unknown response time,4,Arizona's Blind Brothers,(480) 548-2224,Not specified,Window Treatment Store,,
51,C-UNKNOWN,? unknown response time,4,Pro Natural Landscape LLC,(602) 643-9342,Unknown,Landscaping,,
52,C-UNKNOWN,? unknown response time,4,Envirogreen Landscape Design - Build,(602) 403-0311,3 hrs,Landscaping,,
53,C-UNKNOWN,? unknown response time,4,Rebuild Arizona Construction,(602) 574-1100,8 hrs,General Contractors/Handyman,,
54,C-UNKNOWN,? unknown response time,4,Fish Window Cleaning,(602) 441-2566,Unknown - needs verification,Window Cleaning,,
