#,Score,Business,Owner,PHONE,Their Response Time,Trade,Website,Yelp,Called?,Notes
1,5,Phoenix Handyman Home Repair,Joe Vaughan,(602) 550-2139,"3+ hours (Single owner operation, available weekends for emergency)",Handyman & Home Repair,https://www.phoenixhandymanhomerepair.com/,,,
2,5,Homey Property Care,Francisco Cisneros,(928) 388-7763,Unknown,Window Cleaning,,https://www.yelp.com/biz/homey-property-care-phoenix,,
3,5,Arizona Window Coverings Center,,(602) 223-1173,Not specified,Window Treatment Store,,,,
4,5,Goodman's Landscape Maintenance,,(602) 861-1144,Unknown,Landscaping,http://www.goodmanslandscape.com/,https://www.yelp.com/biz/goodmans-landscape-maintenance-llc-phoenix,,
5,5,Streak Patrol,,(480) 869-0179,4 days,Window Cleaning,https://streakpatrol.com,https://www.yelp.com/biz/streak-patrol-phoenix-2,,
6,5,Doherty Bros Window Pros,,(602) 603-5337,4 days,Window Cleaning,,https://www.yelp.com/biz/doherty-bros-window-pros-phoenix,,
7,5,Arizona Blinds Company,"Isaac (Design Consultant), Chris (Installer)",(623) 900-1316,"3+ hours (Extended hours Mon-Fri 8am-7pm, Sat 10am-5pm, but closed Sundays)",Window Treatments & Blinds,https://arizonablindscompany.com/locations/phoenix/,https://www.yelp.com/biz/arizona-blinds-company-phoenix,,
8,5,Nevarez Landscape,,(480) 558-6293,2 days,Landscaping,https://nevarezlandscapeservices.com,https://www.yelp.com/biz/nevarez-landscape-phoenix,,
9,5,AZ Remodel Pros ,Brian G.,(602) 887-8792,1 day,Home Remodeling,azremodelpros.com,https://www.yelp.com/biz/az-remodel-pros-phoenix,,
10,5,AMS Landscaping,,(602) 944-0421,11 hours,Landscaping,azlawns.com,,,
11,5,Good Times Plumbing & Restoration,Trenton M.,(480) 525-8095,2 hours,Plumbers,goodtimesrestoration.com,https://www.yelp.com/biz/good-times-plumbing-and-restoration-chandler-2,,
12,5,Desert Diamond Air,Carlo C.,(602) 535-8988,2 hours,HVAC,desertdiamondhvac.com,https://www.yelp.com/biz/desert-diamond-air-phoenix,,
13,5,Sal's Landscape Construction (already in ),Salvador G.,(602) 669-9410,2 hours,Landscapers,salslandscapeconstruction.com,https://www.yelp.com/biz/sal-s-landscape-construction-phoenix,,
14,5,Goodman's Landscape,,(602) 861-1144,Not specified (assumed >2 hours),Landscaping,https://www.goodmanslandscape.com/,Not available - found via Google search,,
15,5,Miko LLC,,(602) 888-2826,Not specified (assumed >2 hours),General Contractor,https://mikollc.com/,Not available - found via Google search,,
16,5,Arizona Tree Works,,(602) 596-4447,45 minutes,Tree Service,https://arizonatreeworks.com/,,,
17,4,AZ Window Cleaners,,(602) 663-9326,Unknown,Window Cleaning,,https://www.yelp.com/biz/az-window-cleaners-phoenix,,
18,4,Landscaping Contractors CRG LLC,Chuck Giordano,(602) 548-1088,Unknown,Landscaping,https://landscapingcontractorsaz.com/,Not available,,
19,4,Blue Sky Window Cleaning & Landscaping Services,,(602) 386-7380,Unknown,"Window Cleaning, Landscaping",,https://www.yelp.com/biz/blue-sky-window-cleaning-and-landscaping-services-phoenix,,
20,4,AAA Landscape,,(602) 437-2690,Unknown - requires further investigation,Landscaping,https://www.aaalandscape.com/,,,
21,4,Arizona's Blind Brothers,,(480) 548-2224,Not specified,Window Treatment Store,,,,
22,4,Pro Natural Landscape LLC,Elmer,(602) 643-9342,Unknown,Landscaping,https://pronaturallandscape.com/,,,
23,4,Envirogreen Landscape Design - Build,Grayson or Sean M.,(602) 403-0311,3 hrs,Landscaping,Not provided,https://www.yelp.com/biz/envirogreen-landscape-design-build-scottsdale,,
24,4,Rebuild Arizona Construction,Maisa A.,(602) 574-1100,8 hrs,General Contractors/Handyman,Not available,https://www.yelp.com/biz/rebuild-arizona-construction-phoenix-2,,
25,4,Fish Window Cleaning,,(602) 441-2566,Unknown - needs verification,Window Cleaning,https://www.fishwindowcleaning.com/Phoenix-AZ-3006/,,,
26,4,Gothic Landscape Inc,,(602) 470-1711,Unknown,Landscaping,https://gothiclandscape.com/location/arizona/,,,
27,4,Desert Sage Landscaping,Hector Alvarez,(602) 664-0346,Unknown,Landscaping,https://desertsagelandscape.com/,https://www.yelp.com/biz/desert-sage-landscaping-phoenix-3,,
28,4,Ezequiel's Landscaping,Ezequiel,(602) 487-2702,Unknown,Landscaping,https://www.ezequielslandscapingphx.com/,,,
29,4,Phoenix Window Cleaning,,(602) 663-9326,Unknown - needs verification,Window Cleaning,https://phoenixwindowcleaning.com,,,
30,4,Haley's Landscaping and Home Services,,(602) 642-7477,Unknown - needs verification,Landscaping,,https://www.yelp.com/biz/haleys-landscaping-and-home-services-phoenix,,
31,4,Arizona Window Covering Company,,(602) 600-0206,Unknown - needs verification,Shades & Blinds,https://arizonawcc.com,,,
32,4,Arizona Lawn & Garden,,(855) 707-5914,Unknown - needs verification,Landscaping,https://azlawnandgarden.com,,,
33,4,Fix It All Handyman Services,Omar W.,(602) 754-0222,2 hrs,Handyman/Plumbing/Electricians,Not available,https://www.yelp.com/biz/fix-it-all-handyman-services-scottsdale-4,,
34,4,Vision Windows & Doors,Craig H.,(602) 430-7614,2 hrs,Windows and Doors,,https://www.yelp.com/biz/vision-windows-and-doors-phoenix-3,,
35,4,Five Star Handyman Services,Tom M.,(480) 797-5499,3 hrs,Handyman,,https://www.yelp.com/biz/five-star-handyman-services-scottsdale-13,,
36,4,AMS (Arizona Maintenance Services),Eli (mentioned in reviews),(602) 944-0421,4+ hours (Same day estimates but maintenance scheduling likely longer),Landscaping & Yard Maintenance,https://azlawns.com/,,,
37,4,Apple Plumbing,Joni V.,(480) 425-8282,1 day,Plumbers,appleplumbingaz.com,https://www.yelp.com/biz/apple-plumbing-scottsdale-2,,
38,4,Colorworks Landscaping,Jon,(602) 492-2206,24 hours,Landscaping,https://colorworkslandscapeaz.com,https://www.yelp.com/biz/colorworks-landscaping-phoenix-8,,
39,4,Sky View Window Cleaning LLC,Luis,(623) 349-7012,1 day,Window Cleaning,skyviewwindowcleaningllc.com,https://www.yelp.com/biz/sky-view-window-cleaning-phoenix-4,,
40,4,MAJ Countertops,Jonathan G.,(480) 650-6156,1 day,Countertop Installation,,https://www.yelp.com/biz/maj-countertops-phoenix-2,,
41,4,Capstone Plumbing,Erica S.,(602) 510-1614,12 hours,Plumbers,capstone-plumbing.com,https://www.yelp.com/biz/capstone-plumbing-cave-creek,,
42,4,Detail Boss,Christian and Chris P.,(480) 823-5858,12 hours,Mobile Auto Detailing,scottsdalecardetailing.com,https://www.yelp.com/biz/detail-boss-scottsdale-3,,
43,4,Fireside Pools,Crystal Pereira P.,(480) 239-2087,11 hours,Pool Remodeling,firesideazpools.com,https://www.yelp.com/biz/fireside-pools-phoenix,,
44,4,Rite Way,R. Walter W.,(602) 889-8600,7 hours,HVAC/Plumbing,ritewayaz.com,https://www.yelp.com/biz/rite-way-gilbert-2,,
45,4,Copper State Home Maintenance & Repair,Michael D.,(602) 570-4476,6 hours,Plumbers,copperstatehandymanservices.com,https://www.yelp.com/biz/copper-state-home-maintenance-and-repair-phoenix,,
46,4,Granado's Landscaping,,(480) 395-4072,6 hours,Landscaping,,https://www.yelp.com/biz/granados-landscaping-phoenix,,
47,4,Hdz Carpentry,Richard Hernandez,(602) 582-4535,6 hours,Contractors,,https://www.yelp.com/biz/hdz-carpentry-phoenix,,
48,4,Handyman Connection of Phoenix,,(602) 313-1336,6 hours,Handyman,,https://www.yelp.com/biz/handyman-connection-of-phoenix-phoenix-7,,
49,4,Divine Design Landscaping,Nathan M.,(602) 704-0821,5 hours,Landscapers,divinedesignlawncare.com,https://www.yelp.com/biz/divine-design-landscaping-phoenix,,
50,4,Sonoran Window Cleaning,,(480) 493-2484,5 hours,Window Cleaning,sonoranwindowcleaning.com,https://www.yelp.com/biz/sonoran-window-cleaning-phoenix,,
51,4,Dan the Handyman,,(480) 408-5601,5 hours,Handyman,,https://www.yelp.com/biz/dan-the-handyman-phoenix,,
