Verify rank,Business,Category,Owner,Phone,Email,Website,Yelp URL,Response Time,resp_hours,GHL status,GHL contact,Old likelihood,Score v2,Score reasons,Advertiser? (Kevin),Recent RAQs (Kevin),Verdict (keep/drop)
1,Arizona Blinds Company,Shades & Blinds,Not specified,(623) 900-1316,hello@arizonablindscompany.com,https://arizonablindscompany.com,https://www.yelp.com/biz/arizona-blinds-company-phoenix-6,1 day,24,call_now,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/mqQnYEQ7KPGs6YCrg0tn,4,110,"responds in 1d (+40); phone (+15); email (+15); website (+10); sequence finished, warm (+20)",,,
2,AZ Remodel Pros,Home Remodeling,Brian G.,(602) 887-8792,azremodelpros@gmail.com,azremodelpros.com,https://www.yelp.com/biz/az-remodel-pros-phoenix,1 day,24,call_now,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/iisZi7zTmNOqA5dSmZmW,5,110,"responds in 1d (+40); phone (+15); email (+15); website (+10); sequence finished, warm (+20)",,,
3,Colorworks Landscaping,Landscaping,Jon,602-492-2206,info@colorworkslandscapeaz.com,https://colorworkslandscapeaz.com,https://www.yelp.com/biz/colorworks-landscaping-phoenix-8,24 hours,24,call_now,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/MNy0mE6P3WzVJ9tGytJ1,4,110,"responds in 1d (+40); phone (+15); email (+15); website (+10); sequence finished, warm (+20)",,,
4,Nevarez Landscape,Landscaping,Unknown,(480) 558-6293,info@nevarezlandscapeservices.com,https://nevarezlandscapeservices.com,https://www.yelp.com/biz/nevarez-landscape-phoenix,2 days,48,call_now,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/aN4y0YlT8I6Meaaf2kKE,5,110,"responds in 2d (+40); phone (+15); email (+15); website (+10); sequence finished, warm (+20)",,,
5,Streak Patrol,Window Cleaning,Not available,(480) 869-0179,Mikep@streakpatrol.com,https://streakpatrol.com,https://www.yelp.com/biz/streak-patrol-phoenix-2,4 days,96,call_now,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/ZOkU0k0fs2G55QIxG8LK,5,110,"responds in 4d (+40); phone (+15); email (+15); website (+10); sequence finished, warm (+20)",,,
6,AMS Landscaping,Landscaping,,(602) 944-0421,admin@azlawns.com,azlawns.com,,11 hours,11,call_now,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/DSqDvHsqorcqdT0yM7fK,5,100,"responds in 11h (+30); phone (+15); email (+15); website (+10); sequence finished, warm (+20)",,,
7,Capstone Plumbing,Plumbers,Erica S.,(602) 510-1614,office@capstone-plumbing.com,capstone-plumbing.com,https://www.yelp.com/biz/capstone-plumbing-cave-creek,12 hours,12,call_now,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/saQiioKZpq7UKqPm5JgB,4,100,"responds in 12h (+30); phone (+15); email (+15); website (+10); sequence finished, warm (+20)",,,
8,Doherty Bros Window Pros,Window Cleaning,,(602) 603-5337,info@dohertybroswindowpros.com,,https://www.yelp.com/biz/doherty-bros-window-pros-phoenix,4 days,96,call_now,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/IHtozCCm7aol56nHq0eG,5,100,"responds in 4d (+40); phone (+15); email (+15); sequence finished, warm (+20)",,,
9,Green Forever Arizona Synthetic Turf & Pavers,Landscaping,,info@synturfdirect.com,info@synturfdirect.com,,https://www.yelp.com/biz/green-forever-arizona-synthetic-turf-and-pavers-phoenix,1 day,24,call_now,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/PS4e1PpPy1P3bsnMgHgo,4,100,"responds in 1d (+40); phone (+15); email (+15); sequence finished, warm (+20)",,,
10,Apple Plumbing,Plumbers,Joni V.,(480) 425-8282,,appleplumbingaz.com,https://www.yelp.com/biz/apple-plumbing-scottsdale-2,1 day,24,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/6r7nzNoBxQcjAG3VeXBq,4,90,"responds in 1d (+40); phone (+15); website (+10); in GHL, never emailed (+15)",,,
