Category,Business Name,Owner Name,Response Time,Phone,Website,Yelp URL,Purchase Likelihood (1-5),EMAIL
Plumbers,Good Times Plumbing & Restoration,Trenton M.,2 hours,(480) 525-8095,goodtimesrestoration.com,https://www.yelp.com/biz/good-times-plumbing-and-restoration-chandler-2,5,
HVAC,Desert Diamond Air,Carlo C.,2 hours,(602) 535-8988,desertdiamondhvac.com,https://www.yelp.com/biz/desert-diamond-air-phoenix,5,desertdiamondair@gmail.com
Landscapers,Sal's Landscape Construction (already in ),Salvador G.,2 hours,(602) 669-9410,salslandscapeconstruction.com,https://www.yelp.com/biz/sal-s-landscape-construction-phoenix,5,
Home Remodeling,AZ Remodel Pros ,Brian G.,1 day,(602) 887-8792,azremodelpros.com,https://www.yelp.com/biz/az-remodel-pros-phoenix,5,azremodelpros@gmail.com
Window Cleaning,Homey Property Care,Francisco Cisneros,Unknown,(928) 388-7763,,https://www.yelp.com/biz/homey-property-care-phoenix,5,homeypropertycare@gmail.com
General Contractors,Nombrano Construction,,10 hours,,,,5,
Window Treatments & Blinds,Arizona Blinds Company,"Isaac (Design Consultant), Chris (Installer)","3+ hours (Extended hours Mon-Fri 8am-7pm, Sat 10am-5pm, but closed Sundays)",623-900-1316,https://arizonablindscompany.com/locations/phoenix/,https://www.yelp.com/biz/arizona-blinds-company-phoenix,5,hello@arizonablindscompany.com
Window Treatment Store,Arizona Window Coverings Center,,Not specified,(602) 223-1173,,,5,office@arizonawcc.com
Landscaping,AMS Landscaping,,11 hours,(602) 944-0421,azlawns.com,,5,admin@azlawns.com
General Contractors,EL Construction,,1 day,,,,5,
Windows & Doors,Factory Direct Windows,,1 day,,,https://www.yelp.com/biz/factory-direct-windows-phoenix,5,travis@factorydirectwindows.com
Landscaping,Goodman's Landscape Maintenance,Unknown,Unknown,602-861-1144,http://www.goodmanslandscape.com/,https://www.yelp.com/biz/goodmans-landscape-maintenance-llc-phoenix,5,
Windows and Doors,Krasiva Windows and Doors,Unknown,11 hrs,,,https://www.yelp.com/biz/krasiva-windows-and-doors-phoenix,5,
Landscaping,Nevarez Landscape,,2 days,(480) 558-6293,https://nevarezlandscapeservices.com,https://www.yelp.com/biz/nevarez-landscape-phoenix,5,info@nevarezlandscapeservices.com
Windows & Doors,Energy Shield Windows Doors,,2 hrs,,,https://www.m.yelp.com/search?find_desc=Doors+and+Windows&find_loc=Casa+Grande%2C+AZ,5,
Landscaping,Goodman's Landscape,Not specified,Not specified (assumed >2 hours),(602) 861-1144,https://www.goodmanslandscape.com/,Not available - found via Google search,5,
General Contractors,Holtzman Remodeling,,4+ hours,,,https://www.yelp.com/search?cflt=contractors&find_loc=Phoenix%2C+AZ,5,
Handyman & Home Repair,Phoenix Handyman Home Repair,Joe Vaughan,"3+ hours (Single owner operation, available weekends for emergency)",(602) 550-2139,https://www.phoenixhandymanhomerepair.com/,,5,phoenixhomerepair21@gmail.com
General Contractor,Miko LLC,Not specified,Not specified (assumed >2 hours),(602) 888-2826,https://mikollc.com/,Not available - found via Google search,5,info@mikollc.com
Pool Services,Only One Pool Service,,40 minutes,,,https://www.yelp.com/biz/only-one-pool-service-phoenix,5,Onlyonepoolservice@gmail.com
Tree Service,Arizona Tree Works,,45 minutes,602-596-4447,https://arizonatreeworks.com/,,5,info@arizonatreeworks.com
Shades & Blinds,House of Shades,,40 mins,,,https://www.yelp.com/search?find_desc=Blinds+Installation&find_loc=Phoenix%2C+AZ,5,
Window Cleaning,Streak Patrol,,4 days,(480) 869-0179,https://streakpatrol.com,https://www.yelp.com/biz/streak-patrol-phoenix-2,5,Mikep@streakpatrol.com
Window Cleaning,Doherty Bros Window Pros,,4 days,(602) 603-5337,,https://www.yelp.com/biz/doherty-bros-window-pros-phoenix,5,info@dohertybroswindowpros.com
Plumbers,Capstone Plumbing,Erica S.,12 hours,(602) 510-1614,capstone-plumbing.com,https://www.yelp.com/biz/capstone-plumbing-cave-creek,4,office@capstone-plumbing.com
Plumbers,Apple Plumbing,Joni V.,1 day,(480) 425-8282,appleplumbingaz.com,https://www.yelp.com/biz/apple-plumbing-scottsdale-2,4,
Plumbers,Copper State Home Maintenance & Repair,Michael D.,6 hours,(602) 570-4476,copperstatehandymanservices.com,https://www.yelp.com/biz/copper-state-home-maintenance-and-repair-phoenix,4,
Landscapers,Divine Design Landscaping,Nathan M.,5 hours,(602) 704-0821,divinedesignlawncare.com,https://www.yelp.com/biz/divine-design-landscaping-phoenix,4,
Pool Remodeling,Fireside Pools,Crystal Pereira P.,11 hours,(480) 239-2087,firesideazpools.com,https://www.yelp.com/biz/fireside-pools-phoenix,4,
Mobile Auto Detailing,Detail Boss,Christian and Chris P.,12 hours,(480) 823-5858,scottsdalecardetailing.com,https://www.yelp.com/biz/detail-boss-scottsdale-3,4,
Window Cleaning,AZ Window Cleaners,,Unknown,(602) 663-9326,,https://www.yelp.com/biz/az-window-cleaners-phoenix,4,
Landscaping,Landscaping Contractors CRG LLC,Chuck Giordano,Unknown,(602) 548-1088,https://landscapingcontractorsaz.com/,Not available,4,
"Window Cleaning, Landscaping",Blue Sky Window Cleaning & Landscaping Services,,Unknown,(602) 386-7380,,https://www.yelp.com/biz/blue-sky-window-cleaning-and-landscaping-services-phoenix,4,
"Window Washing, Landscaping, Tree Services",Five Star Property Maintenance,,3+ hours,,,https://www.yelp.com/biz/five-star-property-maintenance-phoenix,4,
Landscaping,G&S Landscaping,,30 minutes,,,https://www.yelp.com/biz/g-and-s-landscaping-phoenix-3,4,
Landscaping,Luxury Turf and Green,,3 hours,,,https://www.yelp.com/search?cflt=landscaping&find_loc=Phoenix%2C+AZ+85028,4,
Landscaping,AAA Landscape,,Unknown - requires further investigation,602.437.2690,https://www.aaalandscape.com/,,4,
Landscaping,Mariano's Landscaping Maintenance,,11 hours,,,https://www.yelp.com/biz/marianos-landscaping-maintenance-phoenix-3,4,
General Contractor,Phoenix General Contractor (4hr response),,4 hrs,,,https://www.yelp.com/search?cflt=contractors&find_loc=Phoenix%2C+AZ,4,
Window Treatment Store,Arizona's Blind Brothers,,Not specified,(480) 548-2224,,,4,
Landscaping,Pro-Service Landscaping & Construction,,2 hours,,,https://www.yelp.com/biz/pro-service-landscaping-and-construction-phoenix-2,4,
Shades & Blinds,Arizona Blinds and More,,8 hours,,,https://www.yelp.com/search?cflt=blinds&find_loc=Phoenix%2C+AZ,4,
General Contractors,Phoenix Home Remodeling,,3 hours,,,https://www.yelp.com/biz/phoenix-home-remodeling-chandler-2,4,
HVAC,Phoenix HVAC Contractor,,3 hours,,,https://www.yelp.com/search?cflt=hvac&find_loc=Phoenix%2C+AZ,4,
Landscaping,Pro Natural Landscape LLC,Elmer ,Unknown,(602) 643-9342,https://pronaturallandscape.com/,,4,
Landscaping,Green Forever Arizona Synthetic Turf & Pavers,,1 day,info@synturfdirect.com,,https://www.yelp.com/biz/green-forever-arizona-synthetic-turf-and-pavers-phoenix,4,info@synturfdirect.com
Windows and Doors,K & J Windows,,6 hours,,,https://www.yelp.com/biz/k-and-j-windows-phoenix,4,
Windows and Doors,Apodaca's Glass & Door,,3 hours,,,https://www.yelp.com/biz/apodacas-glass-and-door-phoenix-2,4,
Landscaping,Ground Zero Landscape,Chad,Unknown,,http://www.groundzerolc.com/,https://www.yelp.com/biz/ground-zero-landscape-phoenix,4,
Landscaping,Colorworks Landscaping,Jon,24 hours,602-492-2206,https://colorworkslandscapeaz.com,https://www.yelp.com/biz/colorworks-landscaping-phoenix-8,4,info@colorworkslandscapeaz.com
Landscaping/Hardscaping,Camelback Hardscapes,,>2 hours,(480) 600-8011,,https://www.yelp.com/biz/camelback-hardscapes-scottsdale,4,
Landscaping,Envirogreen Landscape Design - Build,Grayson or Sean M.,3 hrs,(602) 403-0311,Not provided,https://www.yelp.com/biz/envirogreen-landscape-design-build-scottsdale,4,info.envirogreenaz@gmail.com
Landscaping,Granado's Landscaping,,6 hours,(480) 395-4072,,https://www.yelp.com/biz/granados-landscaping-phoenix,4,
Landscaping,Friendly Professional Landscaping,,6 hours,,,https://www.yelp.com/biz/friendly-professional-landscaping-phoenix,4,
Landscaping,KO's Landscaping,,4 hrs,,,https://www.yelp.com/biz/kos-landscaping-glendale-4,4,
General Contractor,Valley Paraiso,,5 hrs,,,https://www.yelp.com/search?cflt=contractors&find_loc=Phoenix%2C+AZ,4,
General Contractors/Handyman,Rebuild Arizona Construction,Maisa A.,8 hrs,602-574-1100,Not available,https://www.yelp.com/biz/rebuild-arizona-construction-phoenix-2,4,
Window Cleaning,Fish Window Cleaning,,Unknown - needs verification,602-441-2566,https://www.fishwindowcleaning.com/Phoenix-AZ-3006/,,4,
Handyman,Honest Handyman Service,,5 hours,,,https://www.yelp.com/biz/honest-handyman-service-phoenix,4,
Landscaping,Gothic Landscape Inc,,Unknown,602-470-1711,https://gothiclandscape.com/location/arizona/,,4,
Landscaping,Valle Verde Lawn Care,,3+ hours,,,https://www.yelp.com/search?cflt=landscaping&find_loc=Phoenix%2C+AZ,4,
Shades & Blinds,"Phoenix Shades, Shutters and Drapery",,3+ hours,,,https://www.yelp.com/biz/phoenix-shades-shutters-and-drapery-peoria,4,
General Contractors,Stellar Home Services,,3+ hours,,,https://www.yelp.com/search?cflt=contractors&find_loc=Phoenix%2C+AZ,4,
Blind & Window Cleaning Services,"About Blind Cleaning, Inc",Jim (Owner mentioned in reviews),4+ hours (Limited business hours Mon-Fri 10am-4pm),(602) 404-7250,https://www.blindcleaningarizona.com/,,4,
Landscaping & Yard Maintenance,AMS (Arizona Maintenance Services),Eli (mentioned in reviews),4+ hours (Same day estimates but maintenance scheduling likely longer),(602) 944-0421,https://azlawns.com/,,4,
Handyman & Home Repair Services,One Home Solution,,"4+ hours (Serves entire Maricopa County, likely longer scheduling times)",(866) 201-5856,https://onehomesolution.com/arizona/,,4,
Window Cleaning,Professional Window Cleaning,,>2 hours,(480) 839-1707,https://www.getmywindowsclean.com,https://www.yelp.com/biz/professional-window-cleaning-phoenix,4,
Shades & Blinds,Spectrum Shades and Shutters,George Lay,>2 hours,(602) 704-5828,https://spectrumshadesandshutters.com,https://www.yelp.com/biz/spectrum-shades-and-shutters-phoenix,4,
Windows & Doors,Phoenix Windows and Doors,,>2 hours,(602) 899-6260,https://phoenixazwindowsanddoors.com,,4,
